【1. 信息边界】
- 路远已知：水壶被拿走、男生刚喝过、走向篮球场、水杯套在地上
- 路远未知：男生是否发现拿错、是否会否认、周围人是否注意到
- 判断依据：男生动作轻松、没查看水壶外观
- 最易越权公布：男生的真实想法（“他只是拿错了”作为旁白事实）

【2. 刻板第一反应】
- 刻板反应：路远内心独白“那是我的水壶！怎么办怎么办”，然后犹豫不决站在原地
- 为何不当：过于依赖心理描写，缺乏外部可见动作，且拖延不符合时间压力
- 更具体方向：路远用身体移动和物件操作来传递信息，不做内心解释，只呈现外部动作序列

【3. 作废候选】
- “路远心里一阵焦急”——直接说明心理
- “男生显然是拿错了”——把他人动机当事实
- “空气仿佛凝固了”——概括气氛
- 以上全部作废，story不得出现同类表达

【4. 行动骨架】
看见男生越走越远
→ 判断必须用物件提示而非喊叫
→ 弯腰拿起空水杯套，走向男生前行路线上的空地
→ 放下水杯套，退回原位
→ 男生经过时空水杯套进入视线
→ 男生看水杯套，再看手中水壶
→ 男生停下，比对
→ 男生走回放下水壶

【5. 停止保护】
- 第一个stop_state可见事实：蓝色水壶放在空水杯套旁边，男生已离开
- 多余内容：路远松一口气的心理描写、取回水壶后的感慨、对男生背影的注视
- 全部作废
