【1. 现状重构与起笔】
- 上一幕最后事实：向暖站在快递架前，拿着地址不对的包裹。
- 已完成动作：她确认了包裹名字是自己的，但地址是3栋不是7栋。
- 尚未完成动作：她需要处理这个包裹，不能拿走也不能放着不管。
- 关键人物位置：向暖在快递架前；旁边有一个邻居也在取快递。
- 当前可见物件：快递架、未取包裹、便签纸、公共签字笔、向暖手里的包裹。
- 当前具体问题：包裹归属不明，不能拆，不能拿错，需要标记或通知真正收件人。
- 正文第一画面：向暖低头看包裹上的地址，手指按在“3栋”两个字上。

【2. 信息边界】
- 向暖已知：包裹名字是“向暖”，地址是3栋，自己住7栋，最近没网购，没人通知有包裹，架上有便签纸和笔。
- 向暖未知：包裹内容、真正收件人身份、包裹为何寄到3栋却出现在这。
- 信息来源：包裹上的快递单、现场便签纸和笔。
- 下一步需要证据：真正收件人的联系方式或反应。
- 旁白越权风险：寄件人身份、包裹内物品、真正收件人的心理活动。

【3. 人物活化】
- 向暖核心性格：谨慎、怕麻烦、但不会置之不理。
- 当前压力：包裹暴露在公共区域，可能被误拿或误解；自己不能拿错东西。
- 被激活人格侧面：解决问题时的务实和轻微焦虑。
- 最刻板反应：内心纠结半天，然后写便签，然后离开。
- 更具体反应：她会先确认周围人对包裹的态度，再决定写什么内容，写完后不会立刻走，会观察片刻。
- 对白风格：自言自语简短，对邻居说话客气但直接，句式偏短，偶尔带自嘲。

【4. 人物套路淘汰】
- 套路一：向暖变成“热心过度”的社区好人，主动联系物业、快递员、业主群三管齐下。作废原因：她怕麻烦，会选最省事的方式，不会一次做三件事。
- 套路二：邻居变成“可疑的偷快递贼”，制造误会冲突。作废原因：邻居只是普通取件人，不应为制造戏剧性而强行可疑。

【5. 剧情套路淘汰】
- 套路一：向暖直接拆开包裹确认内容。作废原因：违反“不能拆包裹”的设定，且不符合她谨慎的性格。
- 套路二：真正收件人恰好路过，问题一句话解决。作废原因：巧合推动，无阻力，无试探过程。
- 选择路线：向暖写便签标记包裹，拍照留证，犹豫是否发业主群，在观察中产生新判断。

【6. 句式套路淘汰】
- 候选一：“她心里涌起一股莫名的不安。”作废：直接心理解释，模糊找补。
- 候选二：“这个包裹仿佛在诉说着什么。”作废：物件承担主题，俗套拟人。
- 候选三：“夕阳的余晖洒在快递架上，一切都显得那么安静。”作废：环境收尾，无信息量。

【7. 行动与篇幅骨架】
因果链：
向暖看到包裹地址不对
→ 形成判断：这不是我的，但名字一样，不能拿走
→ 第一次行动：看周围，确认没人关注这个包裹
→ 阻力：邻居在旁边取件，她不确定对方是否注意到
→ 调整：先等邻居离开，再动手写便签
→ 关键行动：写便签，贴在包裹上，拍照
→ 可见后果：包裹被标记，手机里有照片
→ 新问题出现：是否发业主群？发的话可能引来麻烦，不发的话包裹可能一直在这
→ stop_state：她点开业主群，开始打字

叙事单元规划（目标2400-2800字）：
1. 场景锚定与问题确认（向暖低头看地址，手指按在“3栋”上，确认这不是她的包裹）——280字
2. 环境观察与邻居存在（她抬头看快递架，注意到旁边有人在取件，判断对方态度）——320字
3. 等待与试探（邻居翻找包裹，向暖假装也在找自己的快递，观察邻居是否注意她手里的包裹）——350字
4. 邻居离开，向暖开始行动（她拿起便签纸和笔，犹豫写什么内容）——300字
5. 写便签的完整过程（写下提示信息，考虑是否留联系方式，最终决定不留私人微信）——350字
6. 贴便签与拍照（将便签贴在包裹显眼位置，退后一步看效果，拍照留证）——280字
7. 新判断与犹豫（照片拍完，她意识到便签可能被忽略或撕掉，考虑发业主群）——320字
8. 打开业主群（手机屏幕显示编辑框，她开始打字）——200字
stop_state成立：她点开业主群，开始打字。

【8. 停止与文尾保护】
- 第一个满足stop_state的可见事实：向暖点开业主群，编辑框出现，她开始打字。
- 最容易追加的多余内容：她犹豫要不要发送的心理描写；她抬头看快递架最后一眼的环境收尾。
- 叙事距离：紧贴向暖的视角，不过度深入心理，以动作和判断推进。
- 对白风格：自言自语简短，与邻居对话时礼貌但保持距离。
- OOC风险：向暖突然变成社区管理热心人士，措辞过于正式或书面化。
