【1. 信息边界】
- 方笛已知：自己记得设了一小时，现在才过四十分钟，机器停了，老人说里面是他的衣服。
- 方笛未知：机器实际运行了多久，老人是否在说谎，自己的记忆是否准确。
- 可依赖信息源：面板显示状态、滚筒内衣物归属、洗涤完成时间戳。
- 最易被旁白越权公布：方笛记忆偏差的根本原因（疲劳、压力、习惯性误记等）。

【2. 刻板第一反应】
- 刻板反应：方笛直接说“我记得我设了一小时”，与老人争执。
- 问题：过于直接，忽略了她作为成年人会先怀疑自己而非立即指责他人的社交本能。
- 更具体方向：她先检查面板，用“查看详情”这个动作来推迟表态，在确认事实前保持沉默。

【3. 作废候选】
- “她感到一阵不安”——直接说明心理。
- “老人显然在说谎”——把他人动机当成事实。
- “空气凝固了”——概括气氛。
- 这些内容不得进入story。

【4. 行动骨架】
可见触发：滚筒静止，面板显示“结束”，老人手里拿着湿衣服
→ 方笛判断：面板显示结束但时间不对，先查记录
→ 具体动作：按“详情”按钮查看时间戳
→ 可见后果：面板显示完成时间十分钟前，总运行时间四十分钟

【5. 停止保护】
- 第一个满足stop_state的可见事实：面板显示洗涤完成时间十分钟前，总运行时间四十分钟。
- 最容易追加的多余内容：方笛道歉并解释自己最近太累；老人说没关系并安慰她。
- 这些全部作废。
